"","year","plot","diameter","height","species","status","height_m","diameter_cm"
"97",2023,41,6.6,51,"Ulmus americana",1,15.5448,16.764
"98",2023,41,21.1,93,"Ulmus americana",1,28.3464,53.594
"99",2023,97,1.2,18,"Ulmus americana",1,5.4864,3.048
"100",2023,97,NA,NA,"Ulmus americana",2,NA,NA
"101",2023,97,1.4,31,"Ulmus americana",1,9.4488,3.556
"102",2023,97,3,31,"Ulmus americana",1,9.4488,7.62
"103",2023,97,1.2,23,"Ulmus americana",1,7.0104,3.048
"104",2023,97,1.3,23,"Ulmus americana",1,7.0104,3.302
"105",2023,97,2.2,36,"Ulmus americana",1,10.9728,5.588
"106",2023,97,1.6,22,"Ulmus americana",1,6.7056,4.064
"107",2023,97,2.8,36,"Ulmus americana",1,10.9728,7.112
"108",2023,97,2,32,"Ulmus americana",1,9.7536,5.08
"109",2023,97,1,20,"Ulmus americana",1,6.096,2.54
"110",2023,97,4.1,42,"Quercus texana",1,12.8016,10.414
"111",2023,97,4.1,41,"Ulmus americana",1,12.4968,10.414
"112",2023,97,2.3,39,"Ulmus americana",1,11.8872,5.842
"113",2023,97,5.1,40,"Quercus texana",1,12.192,12.954
"114",2023,97,12.4,66,"Ulmus americana",1,20.1168,31.496
"115",2023,97,1.1,15,"Ulmus americana",2,4.572,2.794
"116",2023,97,14.5,57,"Ulmus americana",1,17.3736,36.83
"117",2023,97,14.2,71,"Ulmus americana",1,21.6408,36.068
"118",2023,97,5.8,52,"Quercus texana",1,15.8496,14.732
"119",2023,51,NA,NA,"Ulmus americana",2,NA,NA
"120",2023,51,11.4,63,"Ulmus americana",1,19.2024,28.956
"121",2023,51,9.9,56,"Ulmus americana",1,17.0688,25.146
"122",2023,51,8,41,"Ulmus americana",1,12.4968,20.32
"123",2023,51,10.3,54,"Ulmus americana",1,16.4592,26.162
"124",2023,51,7.4,67,"Ulmus americana",1,20.4216,18.796
"125",2023,51,12.5,66,"Ulmus americana",1,20.1168,31.75
"126",2023,51,22.1,75,"Ulmus americana",1,22.86,56.134
"127",2023,9,5,33,"Ulmus americana",1,10.0584,12.7
"128",2023,11,5.8,38,"Ulmus americana",1,11.5824,14.732
"129",2023,11,1.9,26,"Ulmus americana",1,7.9248,4.826
"130",2023,11,1.4,23,"Ulmus americana",1,7.0104,3.556
"131",2023,36,2.4,27,"Ulmus americana",1,8.2296,6.096
"132",2023,36,7.1,54,"Ulmus americana",1,16.4592,18.034
"133",2023,36,5,41,"Ulmus americana",1,12.4968,12.7
"134",2023,41,3.1,34,"Ulmus americana",1,10.3632,7.874
"135",2023,41,7.4,63,"Ulmus americana",1,19.2024,18.796
"136",2023,41,6.5,46,"Ulmus americana",1,14.0208,16.51
"137",2023,41,1,18,"Ulmus americana",1,5.4864,2.54
"138",2023,41,2.3,27,"Ulmus americana",1,8.2296,5.842
"139",2023,41,5.5,47,"Ulmus americana",1,14.3256,13.97
"140",2023,41,5.2,44,"Ulmus americana",1,13.4112,13.208
"141",2023,41,1,17,"Ulmus americana",1,5.1816,2.54
"142",2023,43,5.3,44,"Quercus texana",1,13.4112,13.462
"143",2023,43,9.4,46,"Quercus texana",1,14.0208,23.876
"144",2023,43,3.8,37,"Ulmus americana",1,11.2776,9.652
"145",2023,12,15.1,50,"Ulmus americana",1,15.24,38.354
"146",2023,6,9.1,62,"Ulmus americana",1,18.8976,23.114
"147",2023,6,12.5,78,"Ulmus americana",1,23.7744,31.75
"148",2023,6,6.2,49,"Ulmus americana",1,14.9352,15.748
"149",2023,6,7.9,45,"Ulmus americana",1,13.716,20.066
"150",2023,6,16.9,90,"Quercus texana",1,27.432,42.926
"151",2023,6,8.6,49,"Ulmus americana",1,14.9352,21.844
"152",2023,25,5.1,40,"Ulmus americana",2,12.192,12.954
"153",2023,25,9.4,70,"Quercus texana",1,21.336,23.876
"154",2023,25,9.4,70,"Quercus texana",1,21.336,23.876
"155",2023,25,20.5,83,"Quercus texana",1,25.2984,52.07
"156",2023,25,6.8,59,"Quercus texana",1,17.9832,17.272
"157",2023,25,6.3,63,"Quercus texana",1,19.2024,16.002
"158",2023,25,7.6,73,"Quercus texana",1,22.2504,19.304
"159",2023,29,6.4,53,"Ulmus americana",1,16.1544,16.256
"160",2023,29,5.2,45,"Ulmus americana",1,13.716,13.208
"161",2023,31,NA,NA,"Ulmus americana",2,NA,NA
"162",2023,2,NA,NA,"Ulmus americana",2,NA,NA
"163",2023,2,7.1,45,"Quercus texana",1,13.716,18.034
"164",2023,2,9.5,53,"Ulmus americana",1,16.1544,24.13
"165",2023,2,9.8,67,"Ulmus americana",1,20.4216,24.892
"166",2023,2,NA,NA,"Ulmus americana",2,NA,NA
"167",2023,2,11.5,56,"Ulmus americana",1,17.0688,29.21
"168",2023,2,9.5,46,"Ulmus americana",1,14.0208,24.13
"169",2023,2,1.1,13,"Ulmus americana",1,3.9624,2.794
"170",2023,24,5.2,37,"Quercus texana",1,11.2776,13.208
"171",2023,24,5.3,40,"Quercus texana",1,12.192,13.462
"172",2023,24,6.9,33,"Quercus texana",1,10.0584,17.526
"173",2023,15,NA,NA,"Ulmus americana",2,NA,NA
"174",2023,15,NA,NA,"Ulmus americana",2,NA,NA
"175",2023,15,NA,NA,"Ulmus americana",2,NA,NA
"176",2023,15,8.1,50,"Ulmus americana",2,15.24,20.574
"177",2023,15,12.1,52,"Ulmus americana",1,15.8496,30.734
"178",2023,15,NA,NA,"Ulmus americana",2,NA,NA
"179",2023,15,4,37,"Ulmus americana",1,11.2776,10.16
"180",2023,15,4.3,30,"Ulmus americana",1,9.144,10.922
"181",2023,15,NA,NA,"Ulmus americana",2,NA,NA
"182",2023,15,NA,NA,"Ulmus americana",2,NA,NA
"183",2023,15,8.9,52,"Ulmus americana",1,15.8496,22.606
"184",2023,15,9.8,50,"Ulmus americana",1,15.24,24.892
"185",2023,10,29.8,92,"Quercus texana",1,28.0416,75.692
"186",2023,10,8.1,53,"Ulmus americana",1,16.1544,20.574
"187",2023,10,20.1,85,"Quercus texana",1,25.908,51.054
"188",2023,10,20.7,75,"Quercus texana",1,22.86,52.578
"189",2023,10,10.9,55,"Ulmus americana",1,16.764,27.686
"190",2023,10,11.6,63,"Ulmus americana",1,19.2024,29.464
"191",2023,10,9.2,59,"Ulmus americana",1,17.9832,23.368
"192",2023,10,7.5,54,"Ulmus americana",1,16.4592,19.05
"193",2023,10,12.1,69,"Ulmus americana",1,21.0312,30.734
"194",2023,10,5.8,44,"Ulmus americana",1,13.4112,14.732
"195",2023,15,7.3,48,"Ulmus americana",1,14.6304,18.542
"196",2023,17,1.2,21,"Ulmus americana",1,6.4008,3.048
"197",2023,17,1.5,22,"Ulmus americana",1,6.7056,3.81
"198",2023,26,7.2,39,"Ulmus americana",1,11.8872,18.288
"199",2023,40,9.4,63,"Ulmus americana",1,19.2024,23.876
"200",2023,40,19.6,91,"Ulmus americana",1,27.7368,49.784
