"county_code","year","number_trees","trees_alive","species_richness","diameter","height","region"
7,2008,52,52,5,10.4807692307692,55.6153846153846,"South Delta"
7,2009,121,109,8,10.4640833333333,59.6814159292035,"South Delta"
7,2010,88,70,4,11.1782954545455,60.3521126760563,"South Delta"
7,2011,274,198,15,9.77268382352941,53.9073170731707,"South Delta"
7,2012,53,47,3,9.75849056603774,59.3584905660377,"South Delta"
7,2013,291,257,17,8.30182130584192,50.2302405498282,"South Delta"
7,2014,126,108,5,8.43301587301587,60.7142857142857,"South Delta"
7,2015,97,87,14,9.16113402061856,52.2886597938144,"South Delta"
7,2016,109,50,4,11.6329824561404,64.1929824561404,"South Delta"
7,2017,194,118,14,10.2950757575758,63.0833333333333,"South Delta"
7,2018,117,101,8,11.1303418803419,57.9487179487179,"South Delta"
7,2019,28,6,4,9.752,52.5,"South Delta"
7,2020,306,256,16,8.43901515151515,53.7310606060606,"South Delta"
7,2021,127,36,5,7.39736842105263,44.7631578947368,"South Delta"
7,2022,102,81,12,9.56129032258064,53.1290322580645,"South Delta"
7,2023,161,137,13,9.48947368421053,56.8684210526316,"South Delta"
7,2024,122,112,4,12.2237288135593,66.7627118644068,"South Delta"
7,2025,82,71,6,10.4506666666667,58.04,"South Delta"
9,1974,1422,1016,37,12.645288326301,NA,"South Delta"
9,1984,684,495,33,12.4567251461988,68.4739454094293,"South Delta"
9,1991,1005,927,34,13.7604975124378,70.4089743589744,"South Delta"
9,2001,135,100,20,10.0479259259259,56.8814814814815,"South Delta"
9,2002,277,216,26,9.28068592057762,45.786231884058,"South Delta"
9,2003,255,226,31,8.9136862745098,47.4941176470588,"South Delta"
9,2004,148,100,18,12.8900675675676,57.8310810810811,"South Delta"
9,2005,177,106,27,13.2674576271186,59.6779661016949,"South Delta"
9,2008,93,89,15,9.80215053763441,55.6559139784946,"South Delta"
9,2009,91,78,20,6.14087912087912,37.7802197802198,"South Delta"
9,2010,126,99,19,8.71380952380952,52.3333333333333,"South Delta"
9,2011,220,184,23,7.48977272727273,46.7018348623853,"South Delta"
9,2012,216,182,22,6.88796296296296,46.0360824742268,"South Delta"
9,2013,277,185,22,7.14210144927536,48.4892703862661,"South Delta"
9,2014,118,98,17,10.0228695652174,51.8521739130435,"South Delta"
9,2015,201,168,19,6.97925,44.385,"South Delta"
9,2016,204,193,25,5.84485294117647,39.6911764705882,"South Delta"
9,2017,110,91,18,10.2252293577982,55.4862385321101,"South Delta"
