"year","plot","diameter","height","species","status"
2023,6,7.9,45,"Ulmus americana",1
2023,6,16.9,90,"Quercus texana",1
2023,6,8.6,49,"Ulmus americana",1
2023,25,5.1,40,"Ulmus americana",2
2023,25,9.4,70,"Quercus texana",1
2023,25,9.4,70,"Quercus texana",1
2023,25,20.5,83,"Quercus texana",1
2023,25,6.8,59,"Quercus texana",1
2023,25,6.3,63,"Quercus texana",1
2023,25,7.6,73,"Quercus texana",1
2023,29,6.4,53,"Ulmus americana",1
2023,29,5.2,45,"Ulmus americana",1
2023,31,NA,NA,"Ulmus americana",2
2023,2,NA,NA,"Ulmus americana",2
2023,2,7.1,45,"Quercus texana",1
2023,2,9.5,53,"Ulmus americana",1
2023,2,9.8,67,"Ulmus americana",1
2023,2,NA,NA,"Ulmus americana",2
2023,2,11.5,56,"Ulmus americana",1
2023,2,9.5,46,"Ulmus americana",1
2023,2,1.1,13,"Ulmus americana",1
2023,24,5.2,37,"Quercus texana",1
2023,24,5.3,40,"Quercus texana",1
2023,24,6.9,33,"Quercus texana",1
2023,15,NA,NA,"Ulmus americana",2
2023,15,NA,NA,"Ulmus americana",2
2023,15,NA,NA,"Ulmus americana",2
2023,15,8.1,50,"Ulmus americana",2
2023,15,12.1,52,"Ulmus americana",1
2023,15,NA,NA,"Ulmus americana",2
2023,15,4,37,"Ulmus americana",1
2023,15,4.3,30,"Ulmus americana",1
2023,15,NA,NA,"Ulmus americana",2
2023,15,NA,NA,"Ulmus americana",2
2023,15,8.9,52,"Ulmus americana",1
2023,15,9.8,50,"Ulmus americana",1
2023,10,29.8,92,"Quercus texana",1
2023,10,8.1,53,"Ulmus americana",1
2023,10,20.1,85,"Quercus texana",1
2023,10,20.7,75,"Quercus texana",1
2023,10,10.9,55,"Ulmus americana",1
2023,10,11.6,63,"Ulmus americana",1
2023,10,9.2,59,"Ulmus americana",1
2023,10,7.5,54,"Ulmus americana",1
2023,10,12.1,69,"Ulmus americana",1
2023,10,5.8,44,"Ulmus americana",1
2023,15,7.3,48,"Ulmus americana",1
2023,17,1.2,21,"Ulmus americana",1
2023,17,1.5,22,"Ulmus americana",1
2023,26,7.2,39,"Ulmus americana",1
2023,40,9.4,63,"Ulmus americana",1
2023,40,19.6,91,"Ulmus americana",1
2023,40,5.6,39,"Ulmus americana",1
2023,40,NA,NA,"Ulmus americana",2
2023,40,12.3,75,"Ulmus americana",1
2023,46,6.9,62,"Ulmus americana",1
2023,46,7.1,52,"Ulmus americana",1
2023,46,2.3,31,"Ulmus americana",1
2023,46,3.4,25,"Ulmus americana",1
2023,46,1.2,14,"Ulmus americana",1
2023,57,12.4,60,"Ulmus americana",1
2023,57,6.8,46,"Ulmus americana",1
2023,18,1.4,16,"Ulmus americana",1
2023,18,15,84,"Ulmus americana",1
2023,18,7.1,39,"Ulmus americana",1
2023,27,6.1,43,"Ulmus americana",1
2023,27,7.8,64,"Ulmus americana",1
2023,27,9.4,61,"Ulmus americana",1
2023,27,7,50,"Ulmus americana",1
2023,27,6.7,52,"Ulmus americana",1
2023,27,1.8,19,"Ulmus americana",1
2023,45,13.8,88,"Ulmus americana",1
2023,45,8.5,54,"Ulmus americana",1
2023,45,19.2,86,"Ulmus americana",1
2023,45,6.5,57,"Ulmus americana",1
2023,16,6.6,42,"Ulmus americana",1
2023,16,8.2,38,"Ulmus americana",1
2023,16,8,48,"Ulmus americana",1
2023,16,6.4,43,"Ulmus americana",1
2023,16,7.3,39,"Ulmus americana",1
2023,16,7.5,52,"Ulmus americana",1
2023,16,5.5,44,"Ulmus americana",1
2023,16,1.5,15,"Ulmus americana",1
2023,62,7.4,43,"Ulmus americana",2
2023,62,5.7,42,"Ulmus americana",2
2023,62,NA,NA,"Ulmus americana",2
2023,62,5.2,35,"Ulmus americana",1
2023,106,NA,NA,"Ulmus americana",2
2023,106,5.6,35,"Ulmus americana",2
2023,106,8,38,"Ulmus americana",2
2023,106,8.8,48,"Ulmus americana",1
2023,106,8.1,68,"Ulmus americana",1
2023,106,NA,NA,"Ulmus americana",2
2023,224,10.2,70,"Ulmus americana",1
2023,224,10.3,48,"Ulmus americana",1
2023,224,8.5,57,"Ulmus americana",1
2023,224,5.6,26,"Ulmus americana",1
2023,224,1.3,13,"Ulmus americana",1
2023,224,6.9,52,"Ulmus americana",1
2023,3,NA,NA,"Ulmus americana",2
2023,3,5.2,49,"Quercus texana",1
2023,3,4.4,43,"Quercus texana",1
2023,3,5,43,"Quercus texana",1
2023,3,7.9,53,"Ulmus americana",1
2023,3,5.5,43,"Ulmus americana",1
2023,3,7.1,46,"Ulmus americana",1
2023,3,NA,NA,"Ulmus americana",2
2023,4,NA,NA,"Ilex opaca",2
2023,4,1,13,"Ilex opaca",1
2023,44,2.4,31,"Ilex opaca",1
2023,44,1.1,15,"Ilex opaca",1
2023,44,1.1,15,"Ilex opaca",1
2023,51,5.9,45,"Ilex opaca",1
2023,51,5.6,45,"Ilex opaca",1
2023,51,1.1,14,"Ilex opaca",1
2023,53,11.4,53,"Ilex opaca",1
2023,53,7.4,46,"Ilex opaca",1
2023,53,2.2,24,"Ilex opaca",1
2023,2,NA,NA,"Ilex opaca",2
2023,3,NA,NA,"Ilex opaca",0
2023,15,5.9,39,"Ilex opaca",1
2023,15,8.9,46,"Ilex opaca",1
2023,33,NA,NA,"Quercus texana",2
2023,33,NA,NA,"Quercus texana",2
2023,33,10.7,52,"Quercus texana",1
2023,33,8.9,39,"Quercus texana",1
2023,33,1.2,14,"Quercus texana",1
2023,33,7.6,56,"Quercus texana",1
2023,33,9.8,60,"Quercus texana",1
2023,33,NA,NA,"Quercus texana",0
2023,33,7.6,60,"Quercus texana",1
2023,21,NA,NA,"Ulmus americana",2
2023,23,9.5,56,"Ilex opaca",1
2023,28,1.3,18,"Ilex opaca",1
2023,68,5.6,33,"Ilex opaca",1
2023,69,4,30,"Ilex opaca",1
2023,7,2.3,21,"Ilex opaca",1
2023,42,3.5,16,"Ilex opaca",1
2023,42,1.2,18,"Ilex opaca",1
2023,42,1.9,22,"Ilex opaca",1
2023,42,5.4,39,"Ilex opaca",1
2023,73,11.6,71,"Quercus texana",1
2023,73,12.3,65,"Quercus texana",1
2023,73,12.5,63,"Quercus texana",1
2023,73,15.7,68,"Quercus texana",1
2023,73,11.8,73,"Quercus texana",1
2023,73,11.8,65,"Quercus texana",1
2023,73,11.6,66,"Quercus texana",1
2023,73,11.2,68,"Quercus texana",1
2023,73,17.1,80,"Quercus texana",1
2023,73,17.6,75,"Quercus texana",1
2023,5,9.5,68,"Ulmus americana",2
2023,5,20.1,80,"Quercus texana",1
2023,5,9.3,57,"Ulmus americana",1
2023,5,6.6,52,"Ulmus americana",1
2023,5,2.5,39,"Ulmus americana",1
2023,14,NA,NA,"Ulmus americana",2
2023,14,9.9,42,"Quercus texana",1
2023,14,NA,NA,"Quercus texana",2
2023,14,NA,NA,"Quercus texana",2
2023,35,21.7,88,"Ulmus americana",1
2023,140,3.2,32,"Ilex opaca",1
2023,140,3.7,31,"Ilex opaca",1
