"year","plot","diameter","height","species","status"
2023,36,18.034,16.4592,"Ulmus americana",1
2023,36,12.7,12.4968,"Ulmus americana",1
2023,41,7.874,10.3632,"Ulmus americana",1
2023,41,18.796,19.2024,"Ulmus americana",1
2023,41,16.51,14.0208,"Ulmus americana",1
2023,41,2.54,5.4864,"Ulmus americana",1
2023,41,5.842,8.2296,"Ulmus americana",1
2023,41,13.97,14.3256,"Ulmus americana",1
2023,41,13.208,13.4112,"Ulmus americana",1
2023,41,2.54,5.1816,"Ulmus americana",1
2023,43,13.462,13.4112,"Quercus texana",1
2023,43,23.876,14.0208,"Quercus texana",1
2023,43,9.652,11.2776,"Ulmus americana",1
2023,12,38.354,15.24,"Ulmus americana",1
2023,6,23.114,18.8976,"Ulmus americana",1
2023,6,31.75,23.7744,"Ulmus americana",1
2023,6,15.748,14.9352,"Ulmus americana",1
2023,6,20.066,13.716,"Ulmus americana",1
2023,6,42.926,27.432,"Quercus texana",1
2023,6,21.844,14.9352,"Ulmus americana",1
2023,25,12.954,12.192,"Ulmus americana",2
2023,25,23.876,21.336,"Quercus texana",1
2023,25,23.876,21.336,"Quercus texana",1
2023,25,52.07,25.2984,"Quercus texana",1
2023,25,17.272,17.9832,"Quercus texana",1
2023,25,16.002,19.2024,"Quercus texana",1
2023,25,19.304,22.2504,"Quercus texana",1
2023,29,16.256,16.1544,"Ulmus americana",1
2023,29,13.208,13.716,"Ulmus americana",1
2023,31,NA,NA,"Ulmus americana",2
2023,2,NA,NA,"Ulmus americana",2
2023,2,18.034,13.716,"Quercus texana",1
2023,2,24.13,16.1544,"Ulmus americana",1
2023,2,24.892,20.4216,"Ulmus americana",1
2023,2,NA,NA,"Ulmus americana",2
2023,2,29.21,17.0688,"Ulmus americana",1
2023,2,24.13,14.0208,"Ulmus americana",1
2023,2,2.794,3.9624,"Ulmus americana",1
2023,24,13.208,11.2776,"Quercus texana",1
2023,24,13.462,12.192,"Quercus texana",1
2023,24,17.526,10.0584,"Quercus texana",1
2023,15,NA,NA,"Ulmus americana",2
2023,15,NA,NA,"Ulmus americana",2
2023,15,NA,NA,"Ulmus americana",2
2023,15,20.574,15.24,"Ulmus americana",2
2023,15,30.734,15.8496,"Ulmus americana",1
2023,15,NA,NA,"Ulmus americana",2
2023,15,10.16,11.2776,"Ulmus americana",1
2023,15,10.922,9.144,"Ulmus americana",1
2023,15,NA,NA,"Ulmus americana",2
2023,15,NA,NA,"Ulmus americana",2
2023,15,22.606,15.8496,"Ulmus americana",1
2023,15,24.892,15.24,"Ulmus americana",1
2023,10,75.692,28.0416,"Quercus texana",1
2023,10,20.574,16.1544,"Ulmus americana",1
2023,10,51.054,25.908,"Quercus texana",1
2023,10,52.578,22.86,"Quercus texana",1
2023,10,27.686,16.764,"Ulmus americana",1
2023,10,29.464,19.2024,"Ulmus americana",1
2023,10,23.368,17.9832,"Ulmus americana",1
2023,10,19.05,16.4592,"Ulmus americana",1
2023,10,30.734,21.0312,"Ulmus americana",1
2023,10,14.732,13.4112,"Ulmus americana",1
2023,15,18.542,14.6304,"Ulmus americana",1
2023,17,3.048,6.4008,"Ulmus americana",1
2023,17,3.81,6.7056,"Ulmus americana",1
2023,26,18.288,11.8872,"Ulmus americana",1
2023,40,23.876,19.2024,"Ulmus americana",1
2023,40,49.784,27.7368,"Ulmus americana",1
2023,40,14.224,11.8872,"Ulmus americana",1
2023,40,NA,NA,"Ulmus americana",2
2023,40,31.242,22.86,"Ulmus americana",1
2023,46,17.526,18.8976,"Ulmus americana",1
2023,46,18.034,15.8496,"Ulmus americana",1
2023,46,5.842,9.4488,"Ulmus americana",1
2023,46,8.636,7.62,"Ulmus americana",1
2023,46,3.048,4.2672,"Ulmus americana",1
2023,57,31.496,18.288,"Ulmus americana",1
2023,57,17.272,14.0208,"Ulmus americana",1
2023,18,3.556,4.8768,"Ulmus americana",1
2023,18,38.1,25.6032,"Ulmus americana",1
2023,18,18.034,11.8872,"Ulmus americana",1
2023,27,15.494,13.1064,"Ulmus americana",1
2023,27,19.812,19.5072,"Ulmus americana",1
2023,27,23.876,18.5928,"Ulmus americana",1
2023,27,17.78,15.24,"Ulmus americana",1
2023,27,17.018,15.8496,"Ulmus americana",1
2023,27,4.572,5.7912,"Ulmus americana",1
2023,45,35.052,26.8224,"Ulmus americana",1
2023,45,21.59,16.4592,"Ulmus americana",1
2023,45,48.768,26.2128,"Ulmus americana",1
2023,45,16.51,17.3736,"Ulmus americana",1
2023,16,16.764,12.8016,"Ulmus americana",1
2023,16,20.828,11.5824,"Ulmus americana",1
2023,16,20.32,14.6304,"Ulmus americana",1
2023,16,16.256,13.1064,"Ulmus americana",1
2023,16,18.542,11.8872,"Ulmus americana",1
2023,16,19.05,15.8496,"Ulmus americana",1
2023,16,13.97,13.4112,"Ulmus americana",1
2023,16,3.81,4.572,"Ulmus americana",1
2023,62,18.796,13.1064,"Ulmus americana",2
2023,62,14.478,12.8016,"Ulmus americana",2
2023,62,NA,NA,"Ulmus americana",2
2023,62,13.208,10.668,"Ulmus americana",1
2023,106,NA,NA,"Ulmus americana",2
2023,106,14.224,10.668,"Ulmus americana",2
2023,106,20.32,11.5824,"Ulmus americana",2
2023,106,22.352,14.6304,"Ulmus americana",1
2023,106,20.574,20.7264,"Ulmus americana",1
2023,106,NA,NA,"Ulmus americana",2
2023,224,25.908,21.336,"Ulmus americana",1
2023,224,26.162,14.6304,"Ulmus americana",1
2023,224,21.59,17.3736,"Ulmus americana",1
2023,224,14.224,7.9248,"Ulmus americana",1
2023,224,3.302,3.9624,"Ulmus americana",1
2023,224,17.526,15.8496,"Ulmus americana",1
2023,3,NA,NA,"Ulmus americana",2
2023,3,13.208,14.9352,"Quercus texana",1
2023,3,11.176,13.1064,"Quercus texana",1
2023,3,12.7,13.1064,"Quercus texana",1
2023,3,20.066,16.1544,"Ulmus americana",1
2023,3,13.97,13.1064,"Ulmus americana",1
2023,3,18.034,14.0208,"Ulmus americana",1
2023,3,NA,NA,"Ulmus americana",2
2023,4,NA,NA,"Ilex opaca",2
2023,4,2.54,3.9624,"Ilex opaca",1
2023,44,6.096,9.4488,"Ilex opaca",1
2023,44,2.794,4.572,"Ilex opaca",1
2023,44,2.794,4.572,"Ilex opaca",1
2023,51,14.986,13.716,"Ilex opaca",1
2023,51,14.224,13.716,"Ilex opaca",1
2023,51,2.794,4.2672,"Ilex opaca",1
2023,53,28.956,16.1544,"Ilex opaca",1
2023,53,18.796,14.0208,"Ilex opaca",1
2023,53,5.588,7.3152,"Ilex opaca",1
2023,2,NA,NA,"Ilex opaca",2
2023,3,NA,NA,"Ilex opaca",0
2023,15,14.986,11.8872,"Ilex opaca",1
2023,15,22.606,14.0208,"Ilex opaca",1
2023,33,NA,NA,"Quercus texana",2
2023,33,NA,NA,"Quercus texana",2
2023,33,27.178,15.8496,"Quercus texana",1
2023,33,22.606,11.8872,"Quercus texana",1
2023,33,3.048,4.2672,"Quercus texana",1
2023,33,19.304,17.0688,"Quercus texana",1
2023,33,24.892,18.288,"Quercus texana",1
2023,33,NA,NA,"Quercus texana",0
2023,33,19.304,18.288,"Quercus texana",1
2023,21,NA,NA,"Ulmus americana",2
2023,23,24.13,17.0688,"Ilex opaca",1
2023,28,3.302,5.4864,"Ilex opaca",1
2023,68,14.224,10.0584,"Ilex opaca",1
2023,69,10.16,9.144,"Ilex opaca",1
2023,7,5.842,6.4008,"Ilex opaca",1
2023,42,8.89,4.8768,"Ilex opaca",1
2023,42,3.048,5.4864,"Ilex opaca",1
2023,42,4.826,6.7056,"Ilex opaca",1
2023,42,13.716,11.8872,"Ilex opaca",1
2023,73,29.464,21.6408,"Quercus texana",1
2023,73,31.242,19.812,"Quercus texana",1
2023,73,31.75,19.2024,"Quercus texana",1
2023,73,39.878,20.7264,"Quercus texana",1
2023,73,29.972,22.2504,"Quercus texana",1
2023,73,29.972,19.812,"Quercus texana",1
2023,73,29.464,20.1168,"Quercus texana",1
